,index,인원,수료,미수료,수료율,대분류,중분류,소분류
215,민법기초,101,42,42,0.5,행정안전부,직무공통,정책
494,(집합연계) 사회적경제·지역공동체 활성화,4,2,2,0.5,행정안전부,외국어,외국어
477,(집합연계) 고위정책과정,6,3,3,0.5,행정안전부,직무공통,정책
488,"[Mobile 겸용]과학이 문화가 되는 곳, 갈다 (Gov-MOOC)",4,2,2,0.5,행정안전부,직무공통,정책
492,협동조합 업무지침(연합회),4,2,2,0.5,행정안전부,직무공통,정책
231,디지털 이미지 편집(포토샵 CS5),81,33,34,0.4925373134328358,행정안전부,외국어,외국어
276,도시생태복원기법,57,27,28,0.4909090909090909,행정안전부,정보화,정보화
171,초급영어회화2,181,77,81,0.4873417721518987,행정안전부,사회복지,인권
218,[e호조] 회계길라잡이,98,46,49,0.4842105263157895,행정안전부,사회복지,인권
226,실무행정법,85,34,37,0.4788732394366197,행정안전부,직무공통,정책
256,[e호조] 예산편성(요구),69,32,35,0.47761194029850745,행정안전부,정보화,정보화
309,지방세무조사 실무,44,21,23,0.4772727272727273,행정안전부,직무공통,정책
383,[e호조] 예산편성(조정),21,10,11,0.47619047619047616,행정안전부,직무공통,소양
319,왕초보중국어회화2,39,15,17,0.46875,행정안전부,직무공통,소양
277,건축법,56,20,25,0.4444444444444444,행정안전부,직무공통,정책
467,(집합연계) 민원공무원 역량 강화,7,3,4,0.42857142857142855,행정안전부,직무공통,정책
237,개인지방소득세,77,26,37,0.4126984126984127,행정안전부,직무공통,정책
373,SW사업 대가산정 이해,25,9,13,0.4090909090909091,행정안전부,외국어,외국어
413,협동조합 업무지침(사회적협동조합),16,6,9,0.4,행정안전부,직무공통,정책
482,(마이크로러닝)속이 뻥 뚫리는 여행중국어,5,2,3,0.4,행정안전부,직무공통,정책
444,(MOOC) 성공하고 싶은데 하루하루 괴롭기만 하다?,10,4,6,0.4,행정안전부,직무공통,소양
451,기록관리 따라하기,9,3,5,0.375,행정안전부,직무공통,소양
188,실무예제로 배우는 엑셀 2010,149,42,77,0.35294117647058826,행정안전부,직무공통,정책
302,알기쉽게 풀어 쓴 행정절차법,47,14,27,0.34146341463414637,행정안전부,정보화,정보화
500,(마이크로러닝)열정에 기름붓기,3,1,2,0.3333333333333333,행정안전부,정보화,정보화
